id,voted
263021,0.035471898
11379,0.0044187726
147284,0.61080974
219440,0.004782427
36940,0.9584744
243439,0.0058218003
259449,0.005240492
43801,0.0073158494
66743,0.005606465
66500,0.011495343
83372,0.3984537
12891,0.45741707
81805,0.002718595
192850,0.0026117258
91889,0.005361925
248681,0.005738245
59052,0.014467318
8337,0.02200038
118399,0.007837862
224465,0.830791
40483,0.01454911
254793,0.2092914
146794,0.0044370056
89696,0.0074690375
108814,0.009559932
49035,0.005042777
146583,0.0016526261
248177,0.0072300117
259392,0.0024419646
9262,0.010914742
188176,0.820266
32823,0.07601715
41239,0.0040038456
182132,0.014005608
261009,0.0054760952
160163,0.2020353
278913,0.039285123
202750,0.01218175
116510,0.01310495
127166,0.03288723
49944,0.0022081556
66504,0.012931095
165531,0.005127033
250396,0.007946662
198695,0.3901162
230363,0.027986117
181416,0.016615056
187593,0.13585101
185765,0.035542253
222757,0.31150448
22029,0.01470197
103062,0.0040336503
58933,0.003846324
157935,0.07832955
119440,0.0052710953
201552,0.0045308527
94689,0.0133744
236130,0.0066556707
71023,0.51656204
211517,0.18452947
155413,0.014914699
132346,0.0028153972
143982,0.006768715
30089,0.020521475
155618,0.04068091
20972,0.12336789
158896,0.5446971
276004,0.07504142
28608,0.0036556202
237934,0.0173244
152515,0.0068081957
248115,0.0027191252
6264,0.035547387
83266,0.00813531
35777,0.021694727
127083,0.0066555603
281065,0.0020486251
253148,0.0037103735
201370,0.003673769
45224,0.19254999
230173,0.004599862
83363,0.08660476
162285,0.24552785
256824,0.17444226
74546,0.005978125
92941,0.03574632
273341,0.06883197
193257,0.006970707
109964,0.002642212
76438,0.012211515
89713,0.013344879
68793,0.031526238
72436,0.016817125
86273,0.031634413
112654,0.004193585
248313,0.002902523
151402,0.024144024
83925,0.038599744
267735,0.007688128
81120,0.05063648
225117,0.014441743
74421,0.010438553
162495,0.022550153
170169,0.0032020907
218785,0.19637579
221309,0.0036119747
265935,0.0036623774
186798,0.0049559977
244272,0.12603416
122751,0.28369698
58696,0.002166904
202117,0.0121288225
17113,0.0064197513
